Well,X,Y,NTG
204-917,204,917,0.3458853310625685
204-918,204,918,0.3405764804263774
204-919,204,919,0.3731414060615418
204-920,204,920,0.39890861313431153
204-921,204,921,0.35484448772055605
204-922,204,922,0.3751643475634461
204-923,204,923,0.39366997160069167
204-924,204,924,0.37486796739611183
204-926,204,926,0.3741290468597449
204-927,204,927,0.32864870385019734
204-928,204,928,0.32704851942826996
204-929,204,929,0.317938112325962
204-930,204,930,0.30352285985007393
205-901,205,901,0.3162110857802804
205-902,205,902,0.2745065572999976
205-903,205,903,0.360562140035665
205-904,205,904,0.26063670342818646
205-905,205,905,0.2876496246433813
205-906,205,906,0.2168045823315554
205-907,205,907,0.1878003618650169
205-908,205,908,0.22886371979972692
205-909,205,909,0.2945967442765812
205-910,205,910,0.2826278204784612
205-912,205,912,0.31085097401888695
205-913,205,913,0.34908483446418065
205-914,205,914,0.32542634043405533
205-915,205,915,0.34212290525479033
205-917,205,917,0.3906954464465279
205-918,205,918,0.3853865958103368
205-919,205,919,0.3542839483709527
205-920,205,920,0.3987720020625465
205-921,205,921,0.354707876648791
205-922,205,922,0.37502773649168103
205-924,205,924,0.37473135632434684
205-925,205,925,0.4159662229130624
205-926,205,926,0.3038772866783857
205-928,205,928,0.3269119083565049
205-929,205,929,0.317801501254197
205-930,205,930,0.3033862487783089
206-901,206,901,0.31607447470851535
206-902,206,902,0.2743699462282326
206-903,206,903,0.36042552896389995
206-904,206,904,0.26050009235642146
206-905,206,905,0.28751301357161624
206-906,206,906,0.21666797125979034
206-907,206,907,0.18766375079325187
206-908,206,908,0.22872710872796187
206-909,206,909,0.2944601332048162
206-910,206,910,0.28249120940669614
206-911,206,911,0.32482417707511996
206-913,206,913,0.3489482233924156
206-915,206,915,0.3419862941830253
206-916,206,916,0.38575708223698535
206-917,206,917,0.3905588353747629
206-918,206,918,0.3852499847385718
206-919,206,919,0.3541473372991876
206-920,206,920,0.3799145443719574
206-921,206,921,0.35457126557702595
206-922,206,922,0.374891125419916
206-923,206,923,0.39339674945716163
206-924,206,924,0.3745947452525818
206-925,206,925,0.41582961184129735
206-926,206,926,0.3037406756066207
206-927,206,927,0.3283754817066673
206-928,206,928,0.3267752972847399
206-930,206,930,0.30324963770654384
207-901,207,901,0.3159378636367503
207-902,207,902,0.27423333515646753
207-903,207,903,0.3602889178921349
207-904,207,904,0.2603634812846564
207-905,207,905,0.2873764024998512
207-906,207,906,0.21653136018802532
207-908,207,908,0.22859049765619685
207-909,207,909,0.29432352213305113
207-911,207,911,0.3246875660033549
207-913,207,913,0.34881161232065055
207-914,207,914,0.3251531182905253
207-915,207,915,0.3867964095669847
207-916,207,916,0.3856204711652203
207-917,207,917,0.3904222243029979
207-918,207,918,0.38511337366680676
207-920,207,920,0.3797779333001923
207-921,207,921,0.33571380788643684
207-922,207,922,0.374754514348151
207-923,207,923,0.35337753730945337
207-924,207,924,0.3345755331048736
207-925,207,925,0.37581039969358915
207-926,207,926,0.30360406453485567
207-928,207,928,0.32663868621297487
207-929,207,929,0.3175282791106669
208-901,208,901,0.31580125256498526
208-902,208,902,0.27409672408470254
208-903,208,903,0.3601523068203699
208-904,208,904,0.26022687021289137
208-905,208,905,0.2872397914280862
208-906,208,906,0.21639474911626028
208-907,208,907,0.1873905286497218
208-908,208,908,0.2284538865844318
208-909,208,909,0.29418691106128614
208-910,208,910,0.2822179872631661
208-911,208,911,0.32455095493158986
208-912,208,912,0.31044114080359186
208-913,208,913,0.3486750012488855
208-914,208,914,0.3699632336744847
208-916,208,916,0.3854838600934553
208-917,208,917,0.39028561323123284
208-918,208,918,0.3849767625950417
208-920,208,920,0.3796413222284273
208-921,208,921,0.3355771968146718
208-922,208,922,0.33473530220044273
208-923,208,923,0.3532409262376884
208-924,208,924,0.33443892203310854
208-926,208,926,0.3337000014967416
208-927,208,927,0.3583348075967882
208-928,208,928,0.3265020751412098
208-929,208,929,0.31739166803890184
208-930,208,930,0.3029764155630138
209-901,209,901,0.410930904178244
209-902,209,902,0.3692263756979613
209-903,209,903,0.4552819584336286
209-904,209,904,0.3553565218261502
209-905,209,905,0.28710318035632115
209-906,209,906,0.21625813804449526
209-907,209,907,0.18725391757795676
209-908,209,908,0.22831727551266678
209-909,209,909,0.2940502999895211
209-910,209,910,0.28208137619140106
209-911,209,911,0.3244143438598249
209-912,209,912,0.3103045297318269
209-913,209,913,0.3934851166328449
209-914,209,914,0.36982662260271965
209-915,209,915,0.3865231874234546
209-917,209,917,0.3901490021594678
209-918,209,918,0.3848401515232767
209-919,209,919,0.35373750408389254
209-920,209,920,0.3795047111566623
209-921,209,921,0.3354405857429068
209-922,209,922,0.33459869112867774
209-923,209,923,0.35310431516592333
209-924,209,924,0.3343023109613435
209-925,209,925,0.3755371775500591
209-926,209,926,0.33356339042497657
209-927,209,927,0.35819819652502316
209-928,209,928,0.3565980121030958
209-929,209,929,0.31725505696713685
209-930,209,930,0.30283980449124875
210-901,210,901,0.410794293106479
210-902,210,902,0.36908976462619625
210-903,210,903,0.45514534736186363
210-904,210,904,0.35521991075438514
210-905,210,905,0.3822328319695799
210-906,210,906,0.31138778965775404
210-907,210,907,0.2823835691912155
210-908,210,908,0.3234469271259255
210-909,210,909,0.29391368891775604
210-910,210,910,0.28194476511963606
210-911,210,911,0.3242777327880598
210-912,210,912,0.3551146451157862
210-913,210,913,0.3933485055610799
210-915,210,915,0.3863865763516896
210-917,210,917,0.3900123910877028
210-918,210,918,0.38470354045151167
210-919,210,919,0.35360089301212755
210-920,210,920,0.37936810008489724
210-921,210,921,0.31414222021402266
210-922,210,922,0.3344620800569127
210-924,210,924,0.3341656998895785
210-925,210,925,0.37540056647829406
210-926,210,926,0.3334267793532115
210-927,210,927,0.35806158545325817
210-928,210,928,0.3564614010313307
210-929,210,929,0.3473509939290228
210-930,210,930,0.3329357414531347
211-901,211,901,0.410657682034714
211-902,211,902,0.3689531535544312
211-903,211,903,0.4550087362900986
211-904,211,904,0.3550832996826201
211-905,211,905,0.38209622089781486
211-906,211,906,0.31125117858598894
211-907,211,907,0.28224695811945044
211-908,211,908,0.3233103160541605
211-909,211,909,0.32248657717501084
211-910,211,910,0.2746272800304843
211-911,211,911,0.36908784817201923
211-912,211,912,0.3549780340440212
211-913,211,913,0.3932118944893149
211-915,211,915,0.38624996527992456
211-916,211,916,0.3850740268781602
211-917,211,917,0.38987578001593776
211-918,211,918,0.3845669293797466
211-920,211,920,0.3792314890131322
211-921,211,921,0.3140056091422576
211-922,211,922,0.33432546898514764
211-923,211,923,0.3528310930223933
211-925,211,925,0.375263955406529
211-926,211,926,0.33329016828144653
211-929,211,929,0.34721438285725775
211-930,211,930,0.33279913038136966
212-901,212,901,0.41052107096294893
212-902,212,902,0.36881654248266615
212-903,212,903,0.45487212521833353
212-906,212,906,0.31111456751422395
212-907,212,907,0.28211034704768545
212-908,212,908,0.3231737049823955
212-909,212,909,0.2864595927568393
212-910,212,910,0.27449066895871926
212-911,212,911,0.3168236366271431
212-912,212,912,0.3548414229722562
212-913,212,913,0.3930752834175498
212-914,212,914,0.36941678938742456
212-915,212,915,0.3861133542081595
212-916,212,916,0.3849374158063952
212-917,212,917,0.3897391689441727
212-918,212,918,0.38443031830798163
212-919,212,919,0.35332767086859745
212-920,212,920,0.33631835859398945
212-922,212,922,0.33418885791338265
212-923,212,923,0.35269448195062825
212-924,212,924,0.3338924777460484
212-925,212,925,0.375127344334764
212-926,212,926,0.3331535572096815
212-927,212,927,0.3577883633097281
212-928,212,928,0.3561881788878007
212-929,212,929,0.3470777717854927
212-930,212,930,0.3326625193096046
213-901,213,901,0.4103844598911839
213-902,213,902,0.36867993141090116
213-903,213,903,0.45473551414656854
213-904,213,904,0.35481007753909005
213-905,213,905,0.3818229987542848
213-906,213,906,0.31097795644245885
213-907,213,907,0.2819737359759204
213-908,213,908,0.3230370939106304
213-909,213,909,0.28632298168507425
213-910,213,910,0.2743540578869542
213-911,213,911,0.3166870255553781
213-912,213,912,0.30257721142738003
213-913,213,913,0.3929386723457848
213-914,213,914,0.36928017831565957
213-915,213,915,0.38597674313639446
213-916,213,916,0.38480080473463013
213-917,213,917,0.3896025578724077
213-918,213,918,0.34151718788883884
213-919,213,919,0.3104145404494547
213-920,213,920,0.3361817475222244
213-921,213,921,0.2921176221084689
213-922,213,922,0.31243748195135895
213-923,213,923,0.3525578708788632
213-924,213,924,0.3337558666742834
213-925,213,925,0.374990733262999
213-926,213,926,0.33301694613791644
213-927,213,927,0.357651752237963
213-928,213,928,0.35605156781603564
213-929,213,929,0.3291613043720538
213-930,213,930,0.3147460518961658
214-901,214,901,0.4102478488194189
214-902,214,902,0.3685433203391361
214-903,214,903,0.4545989030748035
214-905,214,905,0.3816863876825198
214-906,214,906,0.31084134537069386
214-907,214,907,0.28183712490415536
214-908,214,908,0.28701010949245886
214-909,214,909,0.2861863706133092
214-910,214,910,0.2742174468151892
214-911,214,911,0.316550414483613
214-912,214,912,0.30244060035561493
214-913,214,913,0.3406744608009087
214-914,214,914,0.31701596677078336
214-915,214,915,0.38584013206462947
214-916,214,916,0.3418876743154874
214-917,214,917,0.3466894274532649
214-919,214,919,0.31027792937768967
214-920,214,920,0.3360451364504594
214-921,214,921,0.2919810110367039
214-922,214,922,0.3123008708795939
214-923,214,923,0.33080649491683956
214-924,214,924,0.33361925560251837
214-925,214,925,0.37485412219123393
214-926,214,926,0.31510047872447755
214-927,214,927,0.3397352848245242
214-928,214,928,0.3381351004025968
214-929,214,929,0.32902469330028883
214-930,214,930,0.3146094408244007
215-901,215,901,0.41011123774765385
215-902,215,902,0.36840670926737107
215-903,215,903,0.45446229200303845
215-904,215,904,0.35453685539555996
215-905,215,905,0.3815497766107548
215-906,215,906,0.31070473429892886
215-907,215,907,0.28170051383239036
215-908,215,908,0.2868734984206939
215-909,215,909,0.2860497595415442
215-911,215,911,0.316413803411848
215-912,215,912,0.30230398928384994
215-914,215,914,0.3168793556990184
215-915,215,915,0.3429270016454867
215-917,215,917,0.3465528163814999
215-918,215,918,0.34124396574530874
215-919,215,919,0.3101413183059246
215-920,215,920,0.33590852537869437
215-922,215,922,0.3121642598078289
215-923,215,923,0.3306698838450745
215-924,215,924,0.31186787964049467
215-925,215,925,0.35693765477779504
215-926,215,926,0.31496386765271256
215-927,215,927,0.33959867375275915
215-929,215,929,0.3288880822285238
216-901,216,901,0.4099746266758888
216-903,216,903,0.4543256809312734
216-904,216,904,0.35440024432379497
216-905,216,905,0.38141316553898974
216-906,216,906,0.31056812322716376
216-907,216,907,0.24567352941421886
216-909,216,909,0.28591314846977917
216-910,216,910,0.27394422467165913
216-911,216,911,0.316277192340083
216-912,216,912,0.30216737821208495
216-913,216,913,0.3404012386573786
216-914,216,914,0.3167427446272534
216-915,216,915,0.3334393094479883
216-916,216,916,0.3416144521719573
216-918,216,918,0.34110735467354375
216-919,216,919,0.3100047072341596
216-921,216,921,0.29170778889317384
216-922,216,922,0.31202764873606387
216-923,216,923,0.33053327277330946
216-924,216,924,0.3117312685687296
216-925,216,925,0.35680104370603005
216-926,216,926,0.31482725658094746
216-928,216,928,0.3378618782590667
216-929,216,929,0.32875147115675873
216-930,216,930,0.3143362186808707
217-901,217,901,0.4098380156041238
217-902,217,902,0.36813348712384103
217-903,217,903,0.4541890698595084
217-904,217,904,0.3542636332520299
217-905,217,905,0.3812765544672247
217-906,217,906,0.31043151215539877
217-907,217,907,0.2455369183424538
217-908,217,908,0.2866002762771638
217-909,217,909,0.2857765373980141
217-910,217,910,0.27380761359989414
217-911,217,911,0.3161405812683179
217-912,217,912,0.30203076714031984
217-913,217,913,0.3402646275856136
217-914,217,914,0.3166061335554883
217-915,217,915,0.3333026983762233
217-916,217,916,0.34147784110019225
217-917,217,917,0.34627959423796983
217-918,217,918,0.3409707436017787
217-919,217,919,0.3098680961623946
217-920,217,920,0.33563530323516433
217-921,217,921,0.29157117782140873
217-923,217,923,0.3303966617015444
217-924,217,924,0.31159465749696463
217-925,217,925,0.356664432634265
217-927,217,927,0.3393254516092291
217-928,217,928,0.33772526718730167
217-929,217,929,0.32861486008499374
217-930,217,930,0.3141996076091056
218-901,218,901,0.40970140453235876
218-902,218,902,0.367996876052076
218-903,218,903,0.45405245878774336
218-904,218,904,0.35412702218026487
218-906,218,906,0.27440452773722723
218-907,218,907,0.2454003072706888
218-908,218,908,0.2864636652053988
218-909,218,909,0.2856399263262491
218-910,218,910,0.2736710025281291
218-911,218,911,0.3160039701965529
218-912,218,912,0.30189415606855485
218-913,218,913,0.34012801651384855
218-914,218,914,0.3164695224837233
218-915,218,915,0.33316608730445824
218-916,218,916,0.34134123002842726
218-917,218,917,0.3461429831662048
218-918,218,918,0.34083413253001366
218-919,218,919,0.30973148509062953
218-920,218,920,0.3354986921633993
218-921,218,921,0.29143456674964374
218-922,218,922,0.3117544265925338
218-923,218,923,0.3302600506297794
218-924,218,924,0.3114580464251996
218-925,218,925,0.35652782156249996
218-926,218,926,0.3145540344374175
218-927,218,927,0.33918884053746406
218-928,218,928,0.3375886561155367
219-901,219,901,0.45016758735576995
219-904,219,904,0.39459320500367606
219-905,219,905,0.42160612621887084
219-906,219,906,0.27426791666546224
219-908,219,908,0.28632705413363374
219-910,219,910,0.27353439145636405
219-911,219,911,0.3158673591247879
219-912,219,912,0.30175754499678986
219-914,219,914,0.3163329114119582
219-915,219,915,0.36897225263257527
219-916,219,916,0.36779631423081094
219-917,219,917,0.34600637209443974
219-918,219,918,0.34069752145824866
219-919,219,919,0.3095948740188645
219-920,219,920,0.33536208109163423
219-921,219,921,0.29129795567787875
219-922,219,922,0.3116178155207688
219-923,219,923,0.3301234395580144
219-925,219,925,0.35639121049073497
219-926,219,926,0.31441742336565237
219-927,219,927,0.339052229465699
219-928,219,928,0.33745204504377163
219-929,219,929,0.32834163794146365
220-901,220,901,0.4500309762840049
220-902,220,902,0.4083264478037221
220-903,220,903,0.4943820305393895
220-904,220,904,0.394456593931911
220-905,220,905,0.42146951514710584
220-906,220,906,0.3506244728352799
220-907,220,907,0.24512708512715872
220-908,220,908,0.2861904430618687
220-909,220,909,0.28536670418271903
220-910,220,910,0.27339778038459905
220-911,220,911,0.3157307480530228
220-912,220,912,0.30162093392502476
220-913,220,913,0.3398547943703185
220-914,220,914,0.35213907674007533
220-915,220,915,0.3688356415608103
220-916,220,916,0.3676597031590459
220-917,220,917,0.3724614562968235
220-918,220,918,0.3671526056606323
220-919,220,919,0.3094582629470995
220-920,220,920,0.33522547001986924
220-921,220,921,0.29116134460611365
220-922,220,922,0.31148120444900373
220-924,220,924,0.31118482428166955
220-925,220,925,0.3562545994189699
220-926,220,926,0.3142808122938874
220-927,220,927,0.338915618393934
220-928,220,928,0.3373154339720066
220-929,220,929,0.32820502686969866
220-930,220,930,0.3137897743938105
221-903,221,903,0.49424541946762446
221-904,221,904,0.394319982860146
221-905,221,905,0.4213329040753408
221-906,221,906,0.3504878617635149
221-907,221,907,0.2449904740553937
221-908,221,908,0.2860538319901037
221-909,221,909,0.28523009311095404
221-910,221,910,0.27326116931283395
221-911,221,911,0.3155941369812578
221-912,221,912,0.30148432285325977
221-913,221,913,0.37566095969843555
221-914,221,914,0.3520024656683103
221-915,221,915,0.36869903048904523
221-916,221,916,0.3675230920872809
221-917,221,917,0.37232484522505843
221-918,221,918,0.3670159945888673
221-919,221,919,0.3359133471494832
221-920,221,920,0.2931312226063457
221-921,221,921,0.2490670971925902
221-922,221,922,0.2693869570354802
221-923,221,923,0.28789258107272586
221-924,221,924,0.269090576868146
221-925,221,925,0.31032544345686164
221-926,221,926,0.3141442012221224
221-927,221,927,0.338779007322169
221-928,221,928,0.3371788229002416
221-929,221,929,0.3280684157979336
221-930,221,930,0.3136531633220455
222-901,222,901,0.44975775414047486
222-902,222,902,0.4080532256601921
222-903,222,903,0.49410880839585947
222-904,222,904,0.394183371788381
222-905,222,905,0.42119629300357575
222-906,222,906,0.3503512506917499
222-907,222,907,0.24571702596343326
222-908,222,908,0.2867803838981433
222-909,222,909,0.2859566450189936
222-910,222,910,0.27398772122087356
222-911,222,911,0.3163206888892974
222-912,222,912,0.33729048818137686
222-913,222,913,0.3755243486266705
222-914,222,914,0.35186585459654524
222-916,222,916,0.36738648101551585
222-918,222,918,0.3668793835171023
222-919,222,919,0.33577673607771813
222-920,222,920,0.29299461153458073
222-921,222,921,0.24893048612082516
222-922,222,922,0.2692503459637152
222-923,222,923,0.2877559700009608
222-924,222,924,0.268953965796381
222-925,222,925,0.3101888323850966
222-926,222,926,0.33171294298995374
222-927,222,927,0.35634774909000033
222-928,222,928,0.35474756466807295
222-929,222,929,0.34563715756576496
222-930,222,930,0.3312219050898769
223-901,223,901,0.4496211430687098
223-902,223,902,0.40791661458842704
223-903,223,903,0.4939721973240944
223-904,223,904,0.39404676071661593
223-906,223,906,0.2745846353582067
223-907,223,907,0.24558041489166824
223-908,223,908,0.2866437728263782
223-909,223,909,0.28582003394722855
223-910,223,910,0.27385111014910857
223-911,223,911,0.3161840778175323
223-912,223,912,0.3371538771096118
223-913,223,913,0.37538773755490545
223-914,223,914,0.35172924352478024
223-915,223,915,0.36842580834551514
223-916,223,916,0.3672498699437508
223-917,223,917,0.3720516230815284
223-918,223,918,0.36674277244533726
223-919,223,919,0.26709079339004593
223-920,223,920,0.2928580004628156
223-921,223,921,0.24879387504906014
223-922,223,922,0.2691137348919502
223-923,223,923,0.28761935892919577
223-924,223,924,0.268817354724616
223-925,223,925,0.31005222131333154
223-926,223,926,0.3315763319181887
223-927,223,927,0.3562111380182353
223-928,223,928,0.35461095359630795
223-929,223,929,0.3455005464939999
224-901,224,901,0.44948453199694477
224-902,224,902,0.40778000351666205
224-903,224,903,0.4938355862523294
224-904,224,904,0.39391014964485094
224-905,224,905,0.4209230708600457
224-906,224,906,0.27444802428644166
224-908,224,908,0.2865071617546132
224-909,224,909,0.28568342287546356
224-910,224,910,0.27371449907734346
224-911,224,911,0.31604746674576734
224-912,224,912,0.33701726603784676
224-913,224,913,0.37525112648314046
224-914,224,914,0.3515926324530152
224-916,224,916,0.3671132588719858
224-917,224,917,0.37191501200976335
224-918,224,918,0.3666061613735722
224-919,224,919,0.2669541823182809
224-920,224,920,0.29272138939105063
224-921,224,921,0.24865726397729512
224-922,224,922,0.2689771238201851
224-923,224,923,0.2874827478574308
224-924,224,924,0.26868074365285094
224-925,224,925,0.37341350797150624
224-926,224,926,0.33143972084642365
224-927,224,927,0.3560745269464703
224-928,224,928,0.3544743425245429
224-929,224,929,0.3453639354222349
224-930,224,930,0.3309486829463469
225-901,225,901,0.4493479209251798
225-902,225,902,0.407643392444897
225-903,225,903,0.4936989751805644
225-904,225,904,0.3937735385730859
225-905,225,905,0.34515645552650254
225-906,225,906,0.27431141321467667
225-907,225,907,0.24530719274813817
225-909,225,909,0.2855468118036985
225-910,225,910,0.2735778880055785
225-911,225,911,0.3159108556740023
225-912,225,912,0.30180104154600423
225-913,225,913,0.3751145154113754
225-914,225,914,0.35145602138125015
225-915,225,915,0.3681525862019851
225-917,225,917,0.3717784009379983
225-918,225,918,0.36646955030180717
225-919,225,919,0.26681757124651584
225-920,225,920,0.29258477831928564
225-923,225,923,0.28734613678566573
225-924,225,924,0.2685441325810859
225-925,225,925,0.3732768968997412
225-926,225,926,0.33130310977465866
225-927,225,927,0.35593791587470525
225-929,225,929,0.3452273243504699
225-930,225,930,0.33081207187458184
226-901,226,901,0.44921130985341473
226-902,226,902,0.40750678137313195
226-903,226,903,0.49356236410879933
226-904,226,904,0.39363692750132084
226-905,226,905,0.34501984445473755
226-906,226,906,0.2741748021429116
226-907,226,907,0.24517058167637315
226-908,226,908,0.2862339396110831
226-910,226,910,0.2734412769338134
226-911,226,911,0.31577424460223724
226-912,226,912,0.30166443047423924
226-913,226,913,0.37497790433961037
226-914,226,914,0.35131941030948516
226-915,226,915,0.36801597513022005
226-916,226,916,0.3668400367284557
226-917,226,917,0.37164178986623325
226-918,226,918,0.3663329392300422
226-919,226,919,0.26668096017475085
226-920,226,920,0.29244816724752054
226-921,226,921,0.24838404183376506
226-922,226,922,0.2687039016766551
226-923,226,923,0.2872095257139007
226-924,226,924,0.2684075215093209
226-925,226,925,0.37314028582797615
226-927,226,927,0.3558013048029402
226-930,226,930,0.3306754608028168
227-901,227,901,0.4490746987816497
227-903,227,903,0.4934257530370343
227-904,227,904,0.31787031216777767
227-905,227,905,0.3448832333829725
227-906,227,906,0.2740381910711466
227-907,227,907,0.2450339706046081
227-908,227,908,0.28609732853931813
227-910,227,910,0.2733046658620484
227-911,227,911,0.31563763353047225
227-912,227,912,0.29805919947082393
227-913,227,913,0.33629305991611763
227-914,227,914,0.3511827992377201
227-915,227,915,0.36787936405845506
227-916,227,916,0.3667034256566907
227-917,227,917,0.37150517879446826
227-918,227,918,0.351131874743169
227-919,227,919,0.2665443491029858
227-920,227,920,0.29231155617575555
227-921,227,921,0.248247430762
227-922,227,922,0.26856729060489004
227-923,227,923,0.2870729146421357
227-924,227,924,0.26827091043755585
227-925,227,925,0.37300367475621116
227-926,227,926,0.33102988763112856
227-927,227,927,0.3556646937311752
227-928,227,928,0.3540645093092478
227-929,227,929,0.34495410220693984
227-930,227,930,0.33053884973105174
228-902,228,902,0.4072335592296019
228-903,228,903,0.4932891419652693
228-904,228,904,0.3177337010960127
228-905,228,905,0.34474662231120745
228-906,228,906,0.2739015799993816
228-907,228,907,0.24489735953284308
228-909,228,909,0.2851369785884034
228-910,228,910,0.2696994348586331
228-911,228,911,0.3120324025270569
228-913,228,913,0.3361564488443526
228-914,228,914,0.31249795481422726
228-915,228,915,0.36774275298669
228-916,228,916,0.35150236116981753
228-917,228,917,0.35630411430759507
228-918,228,918,0.35099526367140393
228-919,228,919,0.3198926162320198
228-920,228,920,0.34565982330478956
228-921,228,921,0.301595697891034
228-922,228,922,0.26843067953312505
228-923,228,923,0.28693630357037064
228-924,228,924,0.33163219709573055
228-925,228,925,0.3728670636844461
228-926,228,926,0.33089327655936357
228-927,228,927,0.35552808265941016
228-928,228,928,0.3539278982374828
228-929,228,929,0.3448174911351748
228-930,228,930,0.33040223865928675
229-901,229,901,0.44880147663811965
229-902,229,902,0.40709694815783687
229-903,229,903,0.4175225266317261
229-904,229,904,0.31759709002424763
229-905,229,905,0.3446100112394424
229-906,229,906,0.27376496892761654
229-907,229,907,0.24476074846107804
229-908,229,908,0.2823554864641378
229-909,229,909,0.2815317475849881
229-910,229,910,0.2695628237868681
229-911,229,911,0.3118957914552919
229-912,229,912,0.29778597732729384
229-913,229,913,0.3360198377725876
229-914,229,914,0.31236134374246227
229-915,229,915,0.3525416884998168
229-916,229,916,0.3513657500980525
229-917,229,917,0.35616750323583
229-918,229,918,0.35085865259963894
229-919,229,919,0.3197560051602548
229-921,229,921,0.30145908681926903
229-922,229,922,0.3217789466621591
229-923,229,923,0.34028457069940465
229-924,229,924,0.3314955860239655
229-927,229,927,0.3553914715876451
229-928,229,928,0.3162414990401624
229-929,229,929,0.3071310919378545
229-930,229,930,0.29271583946196644
230-901,230,901,0.4486648655663546
230-902,230,902,0.33133033282429375
230-903,230,903,0.41738591555996113
230-904,230,904,0.3174604789524826
230-905,230,905,0.3444734001676774
230-906,230,906,0.2701597379242012
230-907,230,907,0.24115551745766275
230-909,230,909,0.28139513651322307
230-910,230,910,0.26942621271510303
230-911,230,911,0.3117591803835269
230-912,230,912,0.29764936625552885
230-913,230,913,0.33588322670082255
230-914,230,914,0.3122247326706973
230-915,230,915,0.3524050774280518
230-916,230,916,0.35122913902628744
230-917,230,917,0.356030892164065
230-918,230,918,0.3507220415278739
230-919,230,919,0.3196193940884898
230-920,230,920,0.34538660116125947
230-922,230,922,0.321642335590394
230-923,230,923,0.3401479596276396
230-924,230,924,0.3213459554230599
230-925,230,925,0.372593841540916
230-926,230,926,0.2930702662902782
230-927,230,927,0.31770507239032475
230-928,230,928,0.3161048879683974
230-929,230,929,0.3069944808660895
230-930,230,930,0.29257922839020134
231-901,231,901,0.46483749927966145
231-902,231,902,0.42313297079937867
231-903,231,903,0.509188553535046
231-904,231,904,0.40926311692756756
231-905,231,905,0.34086816916426216
231-906,231,906,0.27002312685243623
231-907,231,907,0.24101890638589774
231-908,231,908,0.28208226432060773
231-909,231,909,0.281258525441458
231-910,231,910,0.26928960164333804
231-911,231,911,0.3116225693117618
231-912,231,912,0.29751275518376386
231-913,231,913,0.3357466156290575
231-914,231,914,0.3120881215989322
231-915,231,915,0.3522684663562868
231-916,231,916,0.35109252795452245
231-917,231,917,0.3558942810923
